Id,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
0,"Pigeon by Stovekraft Amaze Plus Electric Kettle (14289) with Stainless Steel Body, 1.5 litre, used for boiling Water, maki...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51DGcy8eBCL._AC_UL320_.jpg,https://www.amazon.in/Pigeon-Amaze-Plus-1-5-Ltr/dp/B07WMS7TWB/ref=sr_1_1?qid=1679135585&s=appliances&sr=1-1,3.9,"128,941",₹599,"₹1,245"
1,Pigeon Polypropylene Mini Handy and Compact Chopper with 3 Blades for Effortlessly Chopping Vegetables and Fruits for Your...,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51RXzjrUmkL._AC_UL320_.jpg,https://www.amazon.in/Pigeon-Stovekraft-Plastic-Chopper-Blades/dp/B01LWYDEQ7/ref=sr_1_2?qid=1679135585&s=appliances&sr=1-2,4.1,"274,505",₹199,₹545
2,Glun Multipurpose Portable Electronic Digital Weighing Scale Weight Machine (10 Kg - with Back Light),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61ocesEh0cL._AC_UL320_.jpg,https://www.amazon.in/Multipurpose-Portable-Electronic-Digital-Weighing/dp/B09185QH3C/ref=sr_1_3?qid=1679135585&s=appliances&sr=1-3,3.8,365,₹199,₹899
3,beatXP Kitchen Scale Multipurpose Portable Electronic Digital Weighing Scale | Weight Machine With Back light LCD Display...,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61Is7sICRJL._AC_UL320_.jpg,https://www.amazon.in/beatXP-Multipurpose-Portable-Electronic-Weighing/dp/B0B61DSF17/ref=sr_1_4?qid=1679135585&s=appliances&sr=1-4,3.7,"3,29",₹299,"₹1,999"
4,"Bajaj DX-6 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61qgKaW71mL._AC_UL320_.jpg,https://www.amazon.in/Bajaj-Majesty-1000-Watt-Iron-White/dp/B01C8P29N0/ref=sr_1_5?qid=1679135585&s=appliances&sr=1-5,4.2,"24,38",₹625,"₹1,400"
5,Bajaj Frore 1200 mm Ceiling Fan (Brown),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41XJ2wk4M1L._AC_UL320_.jpg,https://www.amazon.in/Bajaj-Frore-1200-Brown-Ceiling/dp/B07SPVMSC6/ref=sr_1_6?qid=1679135585&s=appliances&sr=1-6,4.1,"9,971","₹1,349","₹2,660"
6,Kuber Industries Nylon Mesh Laundry Basket|Sturdy Material & Durable Handles|Netted Lightweight Laundry Bag (Assorted),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/31hmQqq7KsL._AC_UL320_.jpg,https://www.amazon.in/Kuber-Industries-Laundry-Organiser-LMESH02/dp/B077K1HFZ3/ref=sr_1_7?qid=1679135585&s=appliances&sr=1-7,3.7,"4,21",₹92,₹99
7,"Prestige Electric Kettle PKOSS - 1500watts, Steel (1.5Ltr), Black",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71zlLSHbJ-L._AC_UL320_.jpg,https://www.amazon.in/Prestige-Electric-Kettle-PKOSS-1500watts/dp/B01MQZ7J8K/ref=sr_1_8?qid=1679135585&s=appliances&sr=1-8,3.9,"64,888",₹699,"₹1,445"
8,"NutriPro Juicer Mixer Grinder - Smoothie Maker - 500 Watts (3 Jar, Silver)",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/7152-mn8mKL._AC_UL320_.jpg,https://www.amazon.in/NutriPro-Bullet-Juicer-Grinder-Blades/dp/B09J2SCVQT/ref=sr_1_9?qid=1679135585&s=appliances&sr=1-9,4.1,"6,023","₹1,990","₹6,000"
9,Philips GC1905 1440-Watt Steam Iron with Spray (Blue),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71SxUzhnLvL._AC_UL320_.jpg,https://www.amazon.in/Philips-GC1905-1440-Watt-Steam-Spray/dp/B008QTK47Q/ref=sr_1_10?qid=1679135585&s=appliances&sr=1-10,4.3,"38,928","₹1,699","₹2,295"
10,"Lifelong LLMG23 Power Pro 500-Watt Mixer Grinder with 3 Jars (Liquidizing, Wet Grinding and Chutney Jar), Stainless Steel ...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61zhqJg1bTL._AC_UL320_.jpg,https://www.amazon.in/Lifelong-LLMG23-500-Watt-Liquidizing-Stainless/dp/B09X5C9VLK/ref=sr_1_11?qid=1679135585&s=appliances&sr=1-11,3.8,"45,688","₹1,329","₹3,500"
11,"Bajaj PX 97 Torque New 36L Personal Air Cooler for home with DuraMarine Pump (2-Yr Warranty), Turbo Fan Technology, Powerf...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71mdr95IHcL._AC_UL320_.jpg,https://www.amazon.in/Bajaj-Torque-New-Honeycomb-Technology/dp/B09R3QNGW5/ref=sr_1_12?qid=1679135585&s=appliances&sr=1-12,3.7,"19,602","₹5,799","₹9,050"
12,"Bajaj Rex 500W Mixer Grinder with Nutri-Pro Feature, 3 Jars, White",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51Ck4wmBbSL._AC_UL320_.jpg,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/dp/B00HVXS7WC/ref=sr_1_13?qid=1679135585&s=appliances&sr=1-13,4.2,"42,284","₹2,099","₹3,210"
13,USHA Armor AR1100WB 1100 W Dry Iron with Black Weilburger Soleplate (Purple),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71q7meZ82qL._AC_UL320_.jpg,https://www.amazon.in/Armour-AR1100WB-1100-Watt-Soleplate-Purple/dp/B0883KDSXC/ref=sr_1_14?qid=1679135585&s=appliances&sr=1-14,3.9,"17,03",₹549,₹990
14,Philips Viva Collection HD4928/01 2100-Watt Induction Cooktop with Feather Touch Sensor and Crystal Glass Plate (Black),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61x0Qnm08HS._AC_UL320_.jpg,https://www.amazon.in/Philips-Collection-HD4928-01-2100-Watt/dp/B00EDJJ7FS/ref=sr_1_15?qid=1679135585&s=appliances&sr=1-15,4.2,"40,782","₹3,099","₹5,995"
15,"PrettyKrafts Laundry Basket for clothes with Lid & Handles, Toys Organiser, 75 Ltr Black & Grey",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71LX24shyGL._AC_UL320_.jpg,https://www.amazon.in/PrettyKrafts-Laundry-Basket-Clothes-Handles/dp/B0814P4L98/ref=sr_1_16?qid=1679135585&s=appliances&sr=1-16,3.9,"5,754",₹289,"₹1,099"
16,Butterfly EKN 1.5-Litre Electric Kettle (Silver with Black),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71cFxsy+BCL._AC_UL320_.jpg,https://www.amazon.in/Butterfly-EKN-1-5-Litre-Kettle-Silver/dp/B078V8R9BS/ref=sr_1_17?qid=1679135585&s=appliances&sr=1-17,4.2,"36,295",₹649,"₹1,299"
17,Pigeon by Stovekraft Cruise 1800 watt Induction Cooktop (Black),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61DAkNxj9uL._AC_UL320_.jpg,https://www.amazon.in/Pigeon-Stovekraft-Cruise-1800-Watt-Induction/dp/B01GFTEV5Y/ref=sr_1_18?qid=1679135585&s=appliances&sr=1-18,3.8,"55,819","₹1,689","₹3,193"
18,"Pigeon Healthifry Digital Air Fryer, 360° High Speed Air Circulation Technology 1200 W with Non-Stick 4.2 L Basket - Green",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61mfMId4dkL._AC_UL320_.jpg,https://www.amazon.in/Pigeon-Healthifry-Circulation-Technology-Non-Stick/dp/B0B8XNPQPN/ref=sr_1_19?qid=1679135585&s=appliances&sr=1-19,3.9,692,"₹3,529","₹7,995"
19,"Bajaj Majesty DX-11 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White and Blue",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/810Yr09Ji9L._AC_UL320_.jpg,https://www.amazon.in/Bajaj-Majesty-1000-Watt-Iron-White/dp/B01C8P29T4/ref=sr_1_20?qid=1679135585&s=appliances&sr=1-20,4.2,"25,165",₹599,₹785
20,"BAJAJ PYGMY MINI 110 MM 10 W HIGH SPEED OPERATION, USB CHARGING, MULTI-CLIP FUNCTION PERSONAL FAN",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/816lZp-8R2L._AC_UL320_.jpg,https://www.amazon.in/OPERATION-CHARGING-MULTI-CLIP-FUNCTION-PERSONAL/dp/B08VJFYH6N/ref=sr_1_21?qid=1679135585&s=appliances&sr=1-21,4.1,"4,648",₹986,"₹1,620"
21,"Pigeon Kessel Multipurpose Kettle (12173) 1.2 litres with Stainless Steel Body, used for boiling Water and milk, Tea, Coff...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51Y21By5TzL._AC_UL320_.jpg,https://www.amazon.in/Pigeon-Kessel-1-2-Litre-Multi-purpose-Kettle/dp/B01I1LDZGA/ref=sr_1_22?qid=1679135585&s=appliances&sr=1-22,3.9,"15,338",₹899,"₹1,458"
22,"AGARO Regal 800 Watts Handheld Vacuum Cleaner, Lightweight & Durable Body, Small/Mini Size ( Black)",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71WKo+bybtL._AC_UL320_.jpg,https://www.amazon.in/AGARO-800-Watt-Handheld-Cleaner-Durable/dp/B07SRM58TP/ref=sr_1_23?qid=1679135585&s=appliances&sr=1-23,4.0,"15,266","₹1,599","₹2,099"
23,Prestige PIC 20 1600 Watt Induction Cooktop with Push button (Black),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81od9GbumhL._AC_UL320_.jpg,https://www.amazon.in/Prestige-PIC-20-Induction-Cooktop/dp/B00YMJ0OI8/ref=sr_1_24?qid=1679135585&s=appliances&sr=1-24,4.1,"32,24","₹2,095","₹3,645"
24,atomberg Renesa 1200mm BLDC Motor 5 Star Rated Ceiling Fans for Home with Remote Control | Upto 65% Energy Saving High Spe...,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61mhVkkWM-L._AC_UL320_.jpg,https://www.amazon.in/Atomberg-Renesa-Motor-Remote-Ceiling/dp/B08Y5QJXSR/ref=sr_1_25?qid=1679135586&s=appliances&sr=1-25,4.3,"29,831","₹3,680","₹5,190"
25,"Pigeon By Stovekraft 14429 Acer Plus 1800 Watt Induction Cooktop with Feather Touch Control, Induction Stove comes with 8 ...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51A-E96wy-L._AC_UL320_.jpg,https://www.amazon.in/Pigeon-Stovekraft-Acer-Plus-Induction/dp/B0832W3B7Q/ref=sr_1_26?qid=1679135586&s=appliances&sr=1-26,3.8,"10,587","₹1,799","₹3,595"
26,PRO365 Indo Portable Mocktails/Coffee Foamer/Cappuccino/Lemonade/Milk Frother (6 Months Warranty),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61PPPT-xfjL._AC_UL320_.jpg,https://www.amazon.in/PRO365-Electric-Coffee-Stirrer-Frother/dp/B07GXPDLYQ/ref=sr_1_27?qid=1679135586&s=appliances&sr=1-27,3.2,"9,271",₹199,₹499
27,"Lloyd 1.5 Ton 3 Star Inverter Split Ac (5 In 1 Convertible, Copper, Anti-Viral + Pm 2.5 Filter, 2023 Model, White, Gls18I3...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31UISB90sYL._AC_UL320_.jpg,https://www.amazon.in/Lloyd-Inverter-Convertible-Anti-Viral-GLS18I3FWAMC/dp/B0BRKXTSBT/ref=sr_1_28?qid=1679135586&s=appliances&sr=1-28,4.2,"2,255","₹32,999","₹58,990"
28,"Farberware Portable Electric USB Juice Maker Juicer Bottle Blender Grinder Mixer,6 Blades Rechargeable Bottle with (Plasti...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Sb8eK9bGL._AC_UL320_.jpg,https://www.amazon.in/Farberware-Portable-Electric-Blender-Rechargeable/dp/B0BS17BXZM/ref=sr_1_29_mod_primary_new?qid=1679135586&s=appliances&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-29,2.6,164,₹489,"₹1,199"
29,"V-Guard VG 400 for 1.5 Ton A.C (170V to 270V) Original 3 Year onsite wrranty,White",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31xRPjdBD3L._AC_UL320_.jpg,https://www.amazon.in/V-Guard-170V-Original-onsite-wrranty/dp/B089YC1QMD/ref=sr_1_30?qid=1679135586&s=appliances&sr=1-30,4.1,"4,125","₹1,713","₹2,750"
30,"SOFLIN Egg Boiler Electric Automatic Off 7 Egg Poacher for Steaming, Cooking, Boiling and Frying (400 Watts, Blue)",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31zTQCdL35S._AC_UL320_.jpg,https://www.amazon.in/SOFLIN-Electric-Automatic-Poacher-Steaming/dp/B07GMFY9QM/ref=sr_1_31?qid=1679135586&s=appliances&sr=1-31,4.3,"3,84",₹379,₹999
31,"Tosaa 18 Pcs - 3 Different Size Plastic Food Snack Bag Pouch Clip Sealer Large,Medium,Small Plastic Snack Seal Sealing Bag...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41IrWG1SPFL._AC_UL320_.jpg,https://www.amazon.in/Tosaa-18-Pcs-Different-Multicolor/dp/B0BS68MMNN/ref=sr_1_32?qid=1679135586&s=appliances&sr=1-32,3.9,82,₹59,₹99
32,Bosch Pro 1000W Mixer Grinder MGM8842MIN - Black,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Wq0mQNTLL._AC_UL320_.jpg,https://www.amazon.in/Bosch-TrueMixx-Pro-Grinder-Watt-MGM8842MIN/dp/B07MKMFKPG/ref=sr_1_33?qid=1679135586&s=appliances&sr=1-33,4.4,"11,96","₹6,499","₹10,590"
33,"Bajaj PMH 25 DLX 24L Personal Air Cooler for home with DuraMarine Pump (2-Yr Warranty), Turbo Fan Technology, Powerful Air...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61o4Iv+vdBL._AC_UL320_.jpg,https://www.amazon.in/Bajaj-DLX-Honeycomb-Technology-PMH25/dp/B09R3JQ3P9/ref=sr_1_34?qid=1679135586&s=appliances&sr=1-34,3.6,"2,943","₹4,718","₹7,360"
34,"Philips GC181 Heavy Weight 1000-Watt Dry Iron, Pack of 1",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51qNhKjuFPL._AC_UL320_.jpg,https://www.amazon.in/Philips-GC181-Heavy-Weight-1000-Watt/dp/B01EY310UM/ref=sr_1_35?qid=1679135586&s=appliances&sr=1-35,4.3,"15,997","₹1,349","₹1,545"
35,Kuber Industries Waterproof Round Non Wovan Laundry Bag/Hamper|Metalic Printed With Handles|Foldable Bin & 45 Liter Capici...,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/816iczzNG5L._AC_UL320_.jpg,https://www.amazon.in/Kuber-Industries-Foldable-Laundry-KUBMART11450/dp/B08VGFX2B6/ref=sr_1_36?qid=1679135586&s=appliances&sr=1-36,4.0,"3,74",₹161.50,₹199
36,"Smart Shelter Heavy Duty Metal Adjustable Washing Machine Stand/Trolley with Wheels, Front & Top Load, Fridge, Dishwasher ...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51IkQI2r9KL._AC_UL320_.jpg,https://www.amazon.in/Smart-Shelter-Premium-Refrigerator-Dishwasher/dp/B07LFLR8NN/ref=sr_1_37?qid=1679135586&s=appliances&sr=1-37,4.2,"9,647","₹1,399","₹2,999"
37,Orpat HHB-100E WOB 250-Watt Hand Blender (White),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/21OWOIM1wML._AC_UL320_.jpg,https://www.amazon.in/Orpat-HHB-100E-WOB-250-Watt-Blender/dp/B00A7PLVU6/ref=sr_1_38?qid=1679135586&s=appliances&sr=1-38,4.2,"18,866",₹729,₹899
38,Orient Electric Fabrijoy 1000-Watt Dry Iron with American Heritage Non-Stick Sole Plate | Safety-Packed Electric Iron Pres...,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61gd5ZJZaVL._AC_UL320_.jpg,https://www.amazon.in/Orient-Electric-Fabrijoy-DIFJ10BP-1000-Watt/dp/B01MY839VW/ref=sr_1_39?qid=1679135586&s=appliances&sr=1-39,4.2,"14,006",₹549,"₹1,090"
39,Prestige PKGSS 1.7L 1500W Electric Kettle (Stainless Steel),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71hrYgAgdGL._AC_UL320_.jpg,https://www.amazon.in/Prestige-PKGSS-Electric-Kettle-Stainless/dp/B00NW4UWN6/ref=sr_1_40?qid=1679135586&s=appliances&sr=1-40,3.8,"16,348",₹799,"₹1,545"
40,Aptechdeals TDS Meter/Digital Tds Meter with Temperature And Water Quality Measurement For Ro Purifier (TDS),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/412heudHruL._AC_UL320_.jpg,https://www.amazon.in/Aptechdeals-Digital-Temperature-Measurement-Purifier/dp/B07Y66GYJF/ref=sr_1_41?qid=1679135586&s=appliances&sr=1-41,4.1,"6,433",₹179,₹305
