Id,date,products,client_id,is_discounted
0,2015-07-16 23:04:36,[577],770,0
1,2018-11-05 08:25:21,"[443, 468, 16, 284, 374]",1046,0
2,2018-01-01 16:09:05,"[388, 171, 591, 8, 133]",192,1
3,2016-11-01 10:21:23,[4],53,0
4,2016-08-15 20:09:51,"[642, 357, 46]",81,1
5,2018-01-19 14:56:27,"[584, 146, 235, 566, 375]",982,0
6,2020-11-03 06:09:02,"[583, 201, 114, 581, 565, 261]",396,0
7,2019-09-19 06:35:18,[338],324,0
8,2020-05-26 00:15:29,"[306, 132, 395, 207]",1312,1
9,2016-07-17 08:45:13,[27],587,0
10,2019-06-04 09:10:05,"[201, 12, 46]",624,0
11,2017-02-09 03:11:53,"[331, 562, 396, 527, 440]",1204,1
12,2015-04-27 10:50:19,[403],361,1
13,2021-11-30 00:56:41,"[220, 185]",813,0
14,2022-04-23 12:57:41,"[428, 147]",15,0
15,2020-09-12 14:26:48,"[381, 18, 99, 344, 389, 244]",528,0
16,2022-06-21 03:34:27,"[186, 711, 708, 597, 540, 166]",1026,1
17,2023-09-11 23:12:39,"[373, 104, 303, 179]",261,0
18,2016-09-24 02:30:40,"[589, 628, 194, 298, 347]",1492,0
19,2017-02-12 18:37:22,[37],732,1
20,2021-01-12 22:02:16,"[355, 560]",645,1
21,2015-05-30 06:19:13,[163],387,0
22,2015-07-10 00:28:03,"[21, 580, 449, 569, 373]",1235,1
23,2021-02-23 16:21:21,"[151, 555, 424]",929,0
24,2015-12-17 08:54:31,"[255, 539, 452, 266, 193]",1283,0
25,2018-04-09 08:54:58,"[548, 333, 438]",843,0
26,2015-10-12 22:25:40,"[292, 607, 300, 223, 97, 542]",819,0
27,2022-09-22 16:08:40,"[483, 91, 132]",375,0
28,2020-05-22 19:59:20,"[22, 355]",1205,0
29,2019-05-05 21:48:05,"[425, 603, 288, 475]",109,0
30,2019-06-13 20:59:47,"[625, 347, 209, 120, 370]",1349,0
31,2016-11-26 18:51:42,"[369, 418, 186, 473, 259, 109]",1183,0
32,2021-05-05 06:20:33,"[33, 521]",44,1
33,2022-01-31 13:07:50,"[211, 506, 268, 664]",661,0
34,2022-02-24 18:21:34,"[545, 234]",701,0
35,2018-07-10 18:32:56,"[129, 66, 362, 349]",1004,1
36,2017-02-17 06:08:15,"[301, 133, 180, 472, 473, 642]",367,1
37,2019-10-24 02:45:39,"[139, 190, 76, 28, 178]",915,1
38,2018-10-13 00:17:48,"[77, 714, 53, 623]",891,0
